shortName,FC,Significance,GeneName,Color
H3C13,0.0435013046632559,0.12229031216528,,#D3D3D3
ATXN7L1,0.192897765984915,0.231262394012415,,#D3D3D3
TCERG1,0.25949960220094,0.633331857896821,,#D3D3D3
CLIC6,-1.08672217428859,2.76228249084474,,#D55E00
MAPK1IP1L,0.0962849119698053,0.277959739949758,,#D3D3D3
ZNF614,-0.121576342916212,0.175690186831925,,#D3D3D3
CNPPD1,0.527364379556389,1.99246896728448,,#DECAC2
DCP1B,0.604148585847079,0.633059709592363,,#D3D3D3
CYP4X1,-0.820975878383461,0.685110834698987,,#D3D3D3
SSX2,0.275773143079421,0.269452999031881,,#D3D3D3
SPOCD1,0.225105445264404,0.164308994849586,,#D3D3D3
EIF2S3B,0.00901025834223716,0.0266426075006608,,#D3D3D3
CCDC166,0.242494418940027,0.256404562565978,,#D3D3D3
MACROD1,0.0777436920796649,0.073232491956634,,#D3D3D3
WDR55,0.0524893436435307,0.0980161243984018,,#D3D3D3
FAM107A,-1.17722646567512,1.03529919731437,,#D3D3D3
TIMM23B,0.406800765950187,1.07623094206575,,#D3D3D3
VTN,-0.336494112448709,0.414924368838313,,#D3D3D3
HAUS7,0.135185053977572,0.0952916956154335,,#D3D3D3
RNPEP,-0.365310350829564,0.82425721054085,,#D3D3D3
CHPF,-0.401334494239692,1.06545755588704,,#D3D3D3
POLR3F,-0.306302539264615,0.327161574560435,,#D3D3D3
CLBA1,-0.0507865261710217,0.0330186297470169,,#D3D3D3
CDK14,0.168892768727604,0.225461583795913,,#D3D3D3
MAMDC2,-0.219070093036404,0.188008031970975,,#D3D3D3
PIGX,-0.231485714073759,0.238461289228905,,#D3D3D3
NUP85,-0.111815694167111,0.127336704051862,,#D3D3D3
KLF16,0.112696790629887,0.230911405923205,,#D3D3D3
IGHG4,-0.778629778688228,0.760555454920802,,#D3D3D3
NDUFS2,0.0415400431732132,0.0895941888581607,,#D3D3D3
SEMA3C,0.115880140495645,0.0807082219555374,,#D3D3D3
RASGEF1C,-0.883375130847045,1.3839241648763,,#D55E00
LRPPRC,0.408608084751346,1.08564005674681,,#D3D3D3
GK,0.690132080695234,1.30026341120014,,#D3D3D3
SLC14A1,0.680036455897839,0.908797247487055,,#D3D3D3
GTPBP6,0.432507330175654,0.620885333380283,,#D3D3D3
IFT22,-0.332766143610633,0.267678633747221,,#D3D3D3
IL20,0.712302845755933,0.743223519918335,,#D3D3D3
RTN3,-0.652048803309952,2.92752310552867,,#D55E00
CYRIA,-0.922999982417553,1.85089702298406,,#D55E00
AGTR1,-0.789613094050373,0.687007310731903,,#D3D3D3
ATP5F1E,0.294605281199759,0.224420950127996,,#D3D3D3
ZFP36L1,0.227303962223553,0.840529875323292,,#D3D3D3
WDR83,0.282546807162312,0.264121337521864,,#D3D3D3
FTSJ3,0.0173163996756399,0.0323047402927394,,#D3D3D3
CYSLTR2,-0.84630972729097,0.846912728147279,,#D3D3D3
ALDH9A1,-0.462967074889328,1.05012250795129,,#D3D3D3
ORAI2,0.347634607870802,1.84764434814506,,#D3D3D3
LXN,-0.091464270203492,0.065887536414414,,#D3D3D3
LAPTM4A,-0.893819845984936,1.86039085978896,,#D55E00
PHF14,0.472655917308396,1.25579549512854,,#D3D3D3
YEATS4,0.0318157996529692,0.0721494517962402,,#D3D3D3
TCAP,-0.393935474346616,0.241906353643363,,#D3D3D3
THBS4,-0.412440693078073,0.27501292168637,,#D3D3D3
CBX2,-0.294025129277238,0.371750736098489,,#D3D3D3
KIF18A,0.310767474446942,0.397935614529131,,#D3D3D3
CCL21,-0.251947967037123,0.31953941868097,,#D3D3D3
SAMM50,0.0788147369395698,0.124309498395263,,#D3D3D3
FBXO9,0.0460818681389854,0.0759757295573774,,#D3D3D3
ZNF605,0.219076509838824,0.220342399643908,,#D3D3D3
JRK,0.152399688712909,0.377783770480472,,#D3D3D3
NIPA2,0.266889864316029,0.617407027222957,,#D3D3D3
CYREN,-0.049439921921649,0.108853319400884,,#D3D3D3
PVALB,0.733749848957671,1.07814669377382,,#D3D3D3
FGF7,-0.917398583643749,0.926650537873109,,#D3D3D3
GAGE1,-0.0319252459763475,0.0442231315637072,,#D3D3D3
BANF2,1.00665483572689,1.42844141580321,,#DECAC2
TENM1,-0.600654529235569,0.647320486927388,,#D3D3D3
LMNB1,0.225646122996183,0.424732685045969,,#D3D3D3
SPON2,0.741694724189556,0.915624146687237,,#D3D3D3
NAE1,-0.600654529235568,2.52653876471784,,#D55E00
ERO1B,0.232678804097765,0.271616982569797,,#D3D3D3
ASAP2,-0.76794655171242,0.936729860690886,,#D3D3D3
ZNF778,0.348757273420789,0.428941190600405,,#D3D3D3
ZKSCAN4,-0.0723336956618494,0.0839625965012945,,#D3D3D3
CYP4V2,-0.7717332311291,1.11781935209466,,#D3D3D3
SARM1,-0.308173278874989,0.19940529687169,,#D3D3D3
ZDHHC2,-0.447395027994788,0.974752168866608,,#D3D3D3
TRABD,0.0596332117723758,0.189528870324226,,#D3D3D3
APEX2,0.164677098700286,0.121218929777189,,#D3D3D3
GPR17,0.372095682050619,0.264706963470799,,#D3D3D3
PCDH12,-0.69516129468955,0.723228945621349,,#D3D3D3
VDAC3,-0.304931218430629,0.773606063348085,,#D3D3D3
LRTM2,-0.0284946280228833,0.0226207655931576,,#D3D3D3
AGPS,0.247047853273279,0.351815864712051,,#D3D3D3
C17orf50,-0.0878519297270958,0.120041117267242,,#D3D3D3
CD320,0.442439809746088,0.702004439511551,,#D3D3D3
YIPF2,-0.669827445782042,0.687095864906955,,#D3D3D3
ADAMTS3,-0.393935474346616,0.415155287767996,,#D3D3D3
MGP,-0.565560031578959,0.503488995365289,,#D3D3D3
NCOR1,0.251216464864963,0.790992684982534,,#D3D3D3
RPS7,0.216673029688012,2.48529590267413,,#D3D3D3
KRTAP2-2,0.782546807162312,1.61905696354498,,#DECAC2
NOL6,0.722118460598194,0.684599787294546,,#D3D3D3
CFAP73,0.594332971004818,0.701618962955293,,#D3D3D3
PBX2,0.453683736038439,1.34286287210011,,#D3D3D3
