num,ROI_Name,X_position,Y_position,type,PathwayNameFull,Pathway_Value,PathwayName
61,Germinal center_ROI023,12921,26841,Germinal center,"CD48, BCM1; CD48 antigen",-0.001338656,CD48 
62,Germinal center_ROI019,9260,15437,Germinal center,"CD48, BCM1; CD48 antigen",0.472651718,CD48 
63,Germinal center_ROI007,9503,34845,Germinal center,"CD48, BCM1; CD48 antigen",-1.219760228,CD48 
64,Germinal center_ROI010,9318,33128,Germinal center,"CD48, BCM1; CD48 antigen",-0.589719247,CD48 
65,Germinal center_ROI016,25388,26749,Germinal center,"CD48, BCM1; CD48 antigen",-0.965419932,CD48 
66,Germinal center_ROI020,6925,16105,Germinal center,"CD48, BCM1; CD48 antigen",-0.569799243,CD48 
67,Germinal center_ROI021,11177,16145,Germinal center,"CD48, BCM1; CD48 antigen",-0.831161476,CD48 
68,Germinal center_ROI001,23975,27060,Germinal center,"CD48, BCM1; CD48 antigen",-0.130814016,CD48 
69,Germinal center_ROI004,25384,18364,Germinal center,"CD48, BCM1; CD48 antigen",-0.357611653,CD48 
70,Paracortex zone_ROI018,26014,26134,Paracortex zone,"CD48, BCM1; CD48 antigen",1.507554001,CD48 
71,Paracortex zone_ROI003,23615,27609,Paracortex zone,"CD48, BCM1; CD48 antigen",1.518542311,CD48 
72,Paracortex zone_ROI009,10097,34409,Paracortex zone,"CD48, BCM1; CD48 antigen",1.556654808,CD48 
73,Paracortex zone_ROI015,20756,36279,Paracortex zone,"CD48, BCM1; CD48 antigen",1.54038279,CD48 
74,Paracortex zone_ROI006,25105,18785,Paracortex zone,"CD48, BCM1; CD48 antigen",1.525877964,CD48 
75,Paracortex zone_ROI012,10169,32873,Paracortex zone,"CD48, BCM1; CD48 antigen",1.556707106,CD48 
76,Mantle zone_ROI008,9380,34978,Mantle zone,"CD48, BCM1; CD48 antigen",-1.571646967,CD48 
77,Mantle zone_ROI014,22224,36621,Mantle zone,"CD48, BCM1; CD48 antigen",-0.331700922,CD48 
78,Mantle zone_ROI002,24303,27332,Mantle zone,"CD48, BCM1; CD48 antigen",-0.61532889,CD48 
79,Mantle zone_ROI005,25645,18105,Mantle zone,"CD48, BCM1; CD48 antigen",-1.430082951,CD48 
80,Mantle zone_ROI011,8967,33528,Mantle zone,"CD48, BCM1; CD48 antigen",-0.113792242,CD48 
81,Mantle zone_ROI017,25314,27219,Mantle zone,"CD48, BCM1; CD48 antigen",-0.753328061,CD48 
82,Germinal center_ROI027,21345,12134,Germinal center,CD80; CD80 antigen,-1.048533506,CD80 
83,Germinal center_ROI026,27284,24303,Germinal center,CD80; CD80 antigen,0.335392226,CD80 
84,Germinal center_ROI025,22106,13564,Germinal center,CD80; CD80 antigen,0.112036736,CD80 
85,Germinal center_ROI022,7333,20899,Germinal center,CD80; CD80 antigen,0.651453237,CD80 
86,Germinal center_ROI024,20423,22880,Germinal center,CD80; CD80 antigen,0.511756542,CD80 
87,Germinal center_ROI013,21798,36418,Germinal center,CD80; CD80 antigen,0.232994234,CD80 
88,Germinal center_ROI023,12921,26841,Germinal center,CD80; CD80 antigen,0.196369313,CD80 
89,Germinal center_ROI019,9260,15437,Germinal center,CD80; CD80 antigen,-0.968354255,CD80 
90,Germinal center_ROI007,9503,34845,Germinal center,CD80; CD80 antigen,-0.650890324,CD80 
91,Germinal center_ROI010,9318,33128,Germinal center,CD80; CD80 antigen,-0.45486033,CD80 
92,Germinal center_ROI016,25388,26749,Germinal center,CD80; CD80 antigen,-0.596746991,CD80 
93,Germinal center_ROI020,6925,16105,Germinal center,CD80; CD80 antigen,-0.6488938,CD80 
94,Germinal center_ROI021,11177,16145,Germinal center,CD80; CD80 antigen,-1.038932883,CD80 
