ROI,X_position,Y_position,gene,gene_value,type,SegmentLabel,full_gene_name
C | 6B | 008 | Full ROI,9380,34978,Endothelial cells,0.0113699266169381,Mantle zone,Geometric,Endothelial cells
C | 6B | 008 | Full ROI,9380,34978,Fibroblasts,0.0179880243494447,Mantle zone,Geometric,Fibroblasts
D | 6B | 011 | Full ROI,8967,33528,Macrophages,0.0278358232098304,Mantle zone,Geometric,Macrophages
D | 6B | 011 | Full ROI,8967,33528,Mast cells,0.000730657953331955,Mantle zone,Geometric,Mast cells
D | 6B | 011 | Full ROI,8967,33528,Naïve B cells,0.573986902246112,Mantle zone,Geometric,Naïve B cells
D | 6B | 011 | Full ROI,8967,33528,Memory B cells,0.216431146357338,Mantle zone,Geometric,Memory B cells
D | 6B | 011 | Full ROI,8967,33528,Plasma cells,0.0128740648756007,Mantle zone,Geometric,Plasma cells
D | 6B | 011 | Full ROI,8967,33528,Naïve CD4 T cells,0.0347238613902158,Mantle zone,Geometric,Naïve CD4 T cells
D | 6B | 011 | Full ROI,8967,33528,Memory CD4 T cells,0.0307138255919459,Mantle zone,Geometric,Memory CD4 T cells
D | 6B | 011 | Full ROI,8967,33528,Naïve CD8 T cells,0,Mantle zone,Geometric,Naïve CD8 T cells
D | 6B | 011 | Full ROI,8967,33528,Memory CD8 T cells,0.0277488289888684,Mantle zone,Geometric,Memory CD8 T cells
D | 6B | 011 | Full ROI,8967,33528,Natural killer cells,0.00241408756798593,Mantle zone,Geometric,Natural killer cells
D | 6B | 011 | Full ROI,8967,33528,Plasmacytoid dendritic cells,0.00386208868711319,Mantle zone,Geometric,Plasmacytoid dendritic cells
D | 6B | 011 | Full ROI,8967,33528,Myeloid dendritic cells,0.000915528706832134,Mantle zone,Geometric,Myeloid dendritic cells
D | 6B | 011 | Full ROI,8967,33528,Classical monocytes,0,Mantle zone,Geometric,Classical monocytes
D | 6B | 011 | Full ROI,8967,33528,"Non-classical, intermediate monocytes",0.00143247742830186,Mantle zone,Geometric,"Non-classical, intermediate monocytes"
D | 6B | 011 | Full ROI,8967,33528,Neutrophils,0.00292804064161584,Mantle zone,Geometric,Neutrophils
D | 6B | 011 | Full ROI,8967,33528,Regulatory T cells,0.0365904104535272,Mantle zone,Geometric,Regulatory T cells
D | 6B | 011 | Full ROI,8967,33528,Endothelial cells,0.0135913140122429,Mantle zone,Geometric,Endothelial cells
D | 6B | 011 | Full ROI,8967,33528,Fibroblasts,0.0132209418891381,Mantle zone,Geometric,Fibroblasts
E | 6B | 014 | Full ROI,22224,36621,Macrophages,0.0114910577790077,Mantle zone,Geometric,Macrophages
E | 6B | 014 | Full ROI,22224,36621,Mast cells,0.00037182098932283,Mantle zone,Geometric,Mast cells
E | 6B | 014 | Full ROI,22224,36621,Naïve B cells,0.449780728963014,Mantle zone,Geometric,Naïve B cells
E | 6B | 014 | Full ROI,22224,36621,Memory B cells,0.396286021474573,Mantle zone,Geometric,Memory B cells
E | 6B | 014 | Full ROI,22224,36621,Plasma cells,0.00973020183214272,Mantle zone,Geometric,Plasma cells
E | 6B | 014 | Full ROI,22224,36621,Naïve CD4 T cells,0.000729626673911097,Mantle zone,Geometric,Naïve CD4 T cells
E | 6B | 014 | Full ROI,22224,36621,Memory CD4 T cells,0.0989431823620326,Mantle zone,Geometric,Memory CD4 T cells
E | 6B | 014 | Full ROI,22224,36621,Naïve CD8 T cells,0,Mantle zone,Geometric,Naïve CD8 T cells
E | 6B | 014 | Full ROI,22224,36621,Memory CD8 T cells,0.00449557387283508,Mantle zone,Geometric,Memory CD8 T cells
E | 6B | 014 | Full ROI,22224,36621,Natural killer cells,0.00255210976029903,Mantle zone,Geometric,Natural killer cells
E | 6B | 014 | Full ROI,22224,36621,Plasmacytoid dendritic cells,0.0021130177261306,Mantle zone,Geometric,Plasmacytoid dendritic cells
E | 6B | 014 | Full ROI,22224,36621,Myeloid dendritic cells,0,Mantle zone,Geometric,Myeloid dendritic cells
E | 6B | 014 | Full ROI,22224,36621,Classical monocytes,0,Mantle zone,Geometric,Classical monocytes
E | 6B | 014 | Full ROI,22224,36621,"Non-classical, intermediate monocytes",0,Mantle zone,Geometric,"Non-classical, intermediate monocytes"
E | 6B | 014 | Full ROI,22224,36621,Neutrophils,0,Mantle zone,Geometric,Neutrophils
E | 6B | 014 | Full ROI,22224,36621,Regulatory T cells,0.00443077734105937,Mantle zone,Geometric,Regulatory T cells
E | 6B | 014 | Full ROI,22224,36621,Endothelial cells,0.00829238843693834,Mantle zone,Geometric,Endothelial cells
E | 6B | 014 | Full ROI,22224,36621,Fibroblasts,0.010783492788733,Mantle zone,Geometric,Fibroblasts
F | 6B | 017 | Full ROI,25314,27219,Macrophages,0.0161843555778384,Mantle zone,Geometric,Macrophages
F | 6B | 017 | Full ROI,25314,27219,Mast cells,0.000120541556028506,Mantle zone,Geometric,Mast cells
